time,map_coverage
1617716812.660869,5.25
1617716817.8582225,7.5
1617716822.9395952,8.5
1617716828.1493056,8.5
1617716833.1124802,8.75
1617716838.10737,8.75
1617716843.0690925,8.75
1617716848.057357,8.75
1617716853.1016016,8.75
1617716858.1358798,8.75
1617716863.0448315,8.75
1617716868.062367,9.5
1617716872.834674,9.5
1617716877.7195535,9.5
1617716882.8097544,9.5
1617716887.8876936,10.25
1617716893.012208,10.25
1617716898.1450765,10.75
1617716903.279402,10.75
1617716908.3291037,10.75
1617716913.4329867,11.0
1617716918.5596485,11.0
1617716923.5869524,11.0
1617716928.684945,11.25
1617716984.0211668,12.0
1617716988.924586,12.0
1617716993.9367,12.0
1617716999.0239651,12.0
1617717003.9872525,12.0
1617717009.0785027,12.0
1617717014.1880784,12.0
1617717019.3940928,12.0
1617717024.2691581,12.0
1617717029.2975824,12.0
1617717034.156892,12.0
1617717039.324629,12.0
1617717044.4316394,12.0
1617717049.4997802,12.0
1617717054.3958886,14.000000000000002
1617717059.1350288,15.25
1617717063.880433,15.25
1617717068.705983,15.25
1617717073.8082497,15.25
1617717079.0200846,15.25
1617717083.9624524,15.25
1617717089.1288946,15.25
1617717094.064821,15.25
1617717099.2031925,16.25
1617717104.2389197,16.25
1617717159.9738057,28.999999999999996
1617717165.0346887,30.75
1617717170.1684468,30.75
1617717175.1490374,30.75
1617717180.299399,30.75
1617717185.3860652,30.75
1617717190.3700068,30.75
1617717195.3492985,30.75
1617717200.3867836,30.75
1617717205.7793865,30.75
1617717210.7526577,30.75
1617717215.7577682,30.75
1617717220.7264054,30.75
1617717225.932984,30.75
1617717231.130735,31.0
1617717236.2164927,31.0
1617717241.348969,31.0
1617717246.3492393,31.0
1617717251.3437366,31.0
1617717256.0840888,31.0
1617717261.0832653,31.0
1617717266.2182581,31.0
1617717271.2367432,31.5
1617717276.3977444,31.5
1617717281.2248027,31.5
1617717338.117102,43.0
1617717342.995048,44.5
1617717347.6892438,44.5
1617717352.5625463,44.5
1617717357.423527,44.5
1617717362.100607,44.5
1617717367.1031895,44.5
1617717372.1257992,44.5
1617717376.9508853,44.5
1617717381.6766577,44.5
1617717386.766022,44.5
1617717391.457109,44.5
1617717396.665675,44.5
1617717401.5649102,44.5
1617717406.3757834,44.5
1617717411.431867,44.5
1617717416.7305672,44.5
1617717421.482701,44.5
1617717426.2464101,44.5
1617717431.2678432,44.5
1617717436.3077075,44.5
1617717441.4283593,44.5
1617717446.5922482,44.5
1617717451.691482,44.5
1617717456.6923332,44.5
1617717514.1907802,46.0
1617717518.9794095,46.5
1617717523.7349937,46.5
1617717528.5836918,46.5
1617717533.4262922,46.5
1617717538.3246982,46.5
1617717543.109122,46.5
1617717547.839071,46.5
1617717552.825515,46.5
1617717557.9350162,46.5
1617717562.8535225,46.5
1617717567.7948601,46.5
1617717572.8219802,46.5
1617717577.7178628,46.5
1617717582.6108522,46.5
1617717587.4129872,46.5
1617717592.2562764,46.5
1617717597.130835,46.5
1617717602.1110446,46.5
1617717607.2299364,46.5
1617717612.1318402,46.5
1617717616.8138702,46.5
1617717621.7779415,46.5
1617717626.6750379,46.5
1617717631.497084,46.5
1617717688.2236807,47.5
1617717693.1306694,47.5
1617717697.9408276,47.5
1617717702.8854558,47.5
1617717707.8260496,47.5
1617717712.7092628,47.5
1617717717.7104409,47.5
1617717722.8435793,47.5
1617717727.9218519,47.5
1617717732.8811362,47.5
1617717737.7539682,47.5
1617717742.689367,47.5
1617717747.5679555,47.5
1617717752.516423,47.5
1617717757.5191278,47.5
1617717762.6211646,47.5
1617717767.6136115,47.5
1617717772.5436656,47.5
1617717777.543156,47.5
1617717782.3867352,47.5
1617717787.5703378,47.5
1617717792.428781,47.5
1617717797.3168046,47.5
1617717802.5187616,47.5
1617717807.4580073,47.5
1617717863.911099,51.74999999999999
1617717868.8725615,51.74999999999999
1617717873.8633995,51.74999999999999
1617717878.8329697,51.74999999999999
1617717884.003455,51.74999999999999
1617717889.1537356,51.74999999999999
1617717894.288395,51.74999999999999
1617717899.3295538,51.74999999999999
1617717904.333146,51.74999999999999
1617717909.4405847,51.74999999999999
1617717914.4296942,51.74999999999999
