time,map_coverage
1617742212.550028,4.0
1617742217.561974,5.75
1617742222.532166,6.0
1617742227.5453644,6.5
1617742232.6529312,6.5
1617742237.629865,6.5
1617742242.7075026,6.5
1617742247.9490485,6.5
1617742253.0140717,6.75
1617742258.0460718,7.249999999999999
1617742263.2581286,7.249999999999999
1617742268.4079852,7.5
1617742273.514442,8.25
1617742278.5400727,8.25
1617742283.6195147,8.5
1617742288.885727,8.5
1617742294.0299802,8.75
1617742299.2425551,8.75
1617742305.348162,8.75
1617742310.6101685,8.75
1617742315.6410947,9.0
1617742320.7345417,9.0
1617742325.7227902,9.0
1617742330.8223839,9.0
1617742388.3719609,14.499999999999998
1617742393.5501316,14.75
1617742398.4767973,14.75
1617742403.4890587,14.75
1617742408.4645033,15.0
1617742413.4002354,15.0
1617742418.4397264,15.0
1617742423.5674694,15.0
1617742428.6067574,15.0
1617742433.7227836,15.0
1617742439.0739467,15.75
1617742444.1576924,15.75
1617742449.1692212,15.75
1617742454.2084513,15.75
1617742459.0869927,15.75
1617742464.1028445,15.75
1617742469.1749632,15.75
1617742474.2133276,15.75
1617742479.2526324,15.75
1617742484.3993523,15.75
1617742489.3215322,15.75
1617742494.2329009,15.75
1617742499.468758,16.25
1617742504.7257342,16.25
1617742509.880166,16.25
1617742566.882676,18.5
1617742572.0062096,18.75
1617742577.0429575,18.75
1617742581.985886,18.75
1617742587.0957215,18.75
1617742592.1206417,18.75
1617742597.1124725,18.75
1617742602.2627103,18.75
1617742607.4789498,18.75
1617742612.6807203,18.75
1617742617.8684611,18.75
1617742622.9869065,18.75
1617742628.3475819,18.75
1617742633.1618001,18.75
1617742638.4904587,18.75
1617742643.809504,18.75
1617742648.9772377,18.75
1617742654.2998626,18.75
1617742659.3612456,18.75
1617742664.3735175,18.75
1617742669.2452955,18.75
1617742674.448963,18.75
1617742679.264397,18.75
1617742684.4135935,18.75
1617742689.3249042,18.75
1617742747.529618,24.25
1617742752.5616248,25.5
1617742757.6267457,25.5
1617742762.529705,25.5
1617742767.6697297,25.5
1617742772.8501377,25.5
1617742778.0338838,25.5
1617742783.405247,25.5
1617742788.5883121,25.5
1617742793.9333053,25.5
1617742798.9715998,25.5
1617742804.165699,25.5
1617742809.4155753,25.5
1617742814.5845273,25.5
1617742819.7166843,25.5
1617742824.8335404,25.5
1617742830.0093184,25.5
1617742835.1675696,25.5
1617742840.062283,25.5
1617742844.6826346,28.749999999999996
1617742849.7394445,29.25
1617742854.9989636,29.25
1617742860.4463632,29.25
1617742865.7686512,29.25
1617742870.8231554,29.25
1617742930.507937,31.25
1617742935.734557,31.25
1617742940.8416939,31.25
1617742946.1078749,31.25
1617742951.399751,31.25
1617742956.5778897,31.25
1617742961.7811532,31.25
1617742966.975558,31.25
1617742972.1939213,31.25
1617742977.598461,31.25
1617742982.8751411,31.25
1617742988.2246602,31.25
1617742993.7088182,31.25
1617742999.0722153,31.25
1617743004.329216,31.25
1617743009.611889,31.25
1617743014.9382827,31.25
1617743020.4454048,31.25
1617743025.938252,31.25
1617743031.4670763,31.25
1617743036.886115,31.25
1617743042.0626163,31.25
1617743047.2867217,31.25
1617743052.440314,31.25
1617743057.5176704,31.25
1617743116.3064022,33.5
1617743121.5746908,34.25
1617743126.799512,34.25
1617743132.3285947,34.25
1617743137.880499,34.25
1617743143.4187307,34.25
1617743149.0226219,34.25
1617743154.4158628,34.25
1617743160.0028543,34.25
1617743165.5667503,34.25
1617743170.784364,34.25
1617743176.473393,34.25
1617743182.1858356,34.25
1617743187.7090776,34.25
1617743193.3045084,34.25
1617743198.7040584,34.25
1617743204.1724389,34.25
1617743209.6271796,34.25
1617743215.0341923,34.25
1617743220.3266876,34.25
1617743225.8008811,34.25
1617743231.004364,34.25
1617743236.3108728,34.25
1617743241.655322,34.25
1617743247.2425256,34.25
1617743304.4327,35.0
1617743309.4821677,35.0
1617743314.6099408,35.0
1617743319.8410242,35.0
1617743324.9466772,35.0
1617743330.1682382,35.0
1617743335.5460362,35.0
1617743340.6005328,35.0
1617743345.871437,35.0
1617743351.1696186,35.0
1617743356.7569566,35.0
1617743362.1890829,35.0
1617743367.7381546,35.0
1617743373.299241,35.0
1617743378.9166615,35.0
1617743384.21062,35.0
1617743389.629697,35.0
1617743395.1601882,35.0
1617743400.6916697,35.0
1617743406.0553722,35.0
1617743411.2796917,35.0
1617743416.5546722,35.0
1617743421.8055048,35.0
1617743427.3841789,35.0
1617743432.8016284,35.0
1617743491.7852387,37.25
1617743496.6722238,40.75
1617743501.6463704,40.75
1617743506.4800465,40.75
1617743511.6140668,40.75
1617743516.7614202,40.75
1617743521.9745197,40.75
1617743527.3579926,40.75
1617743532.4604065,40.75
1617743537.836191,40.75
1617743543.1604483,40.75
1617743548.5149057,40.75
1617743554.0930312,40.75
1617743559.619683,40.75
1617743564.9722288,40.75
1617743570.4719856,40.75
1617743575.9101257,40.75
1617743581.3882904,40.75
1617743586.910468,40.75
1617743592.1872215,40.75
1617743597.25625,40.75
1617743602.4913614,40.75
1617743607.737598,40.75
1617743613.1365657,40.75
1617743618.5902057,40.75
1617743678.3712428,41.5
1617743683.5695324,41.75
1617743689.0086584,41.75
1617743694.4395854,41.75
1617743699.628785,41.75
1617743705.024034,41.75
1617743710.3196557,41.75
1617743715.6423125,41.75
1617743720.8708708,41.75
1617743726.642013,41.75
1617743732.2958188,41.75
1617743737.9229228,41.75
1617743743.2269285,41.75
1617743748.4497871,42.75
1617743753.7070956,42.75
1617743758.9736633,42.75
1617743764.2266505,42.75
1617743769.528645,42.75
1617743775.068806,42.75
1617743780.326717,42.75
1617743785.6707213,42.75
1617743790.9295661,42.75
1617743796.1473424,42.75
1617743801.32506,42.75
1617743806.682885,42.75
1617743864.5824223,46.0
1617743870.1905282,46.0
1617743875.662626,46.0
1617743880.6981175,46.75
1617743885.7808192,46.75
1617743891.4934576,46.75
1617743896.9063535,47.0
1617743902.353056,47.0
1617743908.0036042,47.0
1617743913.4800382,47.0
1617743918.9364474,47.0
1617743924.3473222,47.0
1617743929.7912343,47.0
1617743935.3261044,47.0
1617743940.9094982,47.0
1617743946.5385325,47.0
1617743952.0692995,47.0
1617743957.5796041,47.0
1617743963.2466767,47.0
1617743968.696152,47.0
1617743973.8312066,47.0
1617743979.114111,47.0
1617743984.410106,47.0
1617743989.7484102,47.0
1617743995.0390227,47.0
1617744054.0165522,51.74999999999999
1617744059.1650789,52.25
1617744064.4269242,52.25
1617744069.873559,52.25
1617744075.2285242,52.25
1617744080.9069307,52.25
1617744086.4880555,52.25
1617744091.5688803,52.25
1617744096.8564532,52.25
1617744102.5015957,52.25
1617744108.036209,52.25
1617744113.3877468,52.25
1617744118.687646,52.25
1617744124.2789578,52.25
1617744129.68209,52.25
1617744135.110268,52.25
1617744140.627588,52.25
1617744146.106421,52.25
1617744151.624635,52.25
1617744157.140471,52.5
1617744162.5174859,52.5
1617744168.0781724,52.5
1617744173.649949,52.5
1617744179.2239873,52.5
1617744185.084307,52.5
1617744244.7753866,52.5
1617744250.2937,52.75
1617744255.8126316,52.75
1617744261.348306,52.75
1617744266.492075,52.75
1617744271.7023044,52.75
1617744276.9612615,52.75
1617744282.2921822,52.75
1617744287.4168704,52.75
1617744292.216345,52.75
1617744297.2581043,52.75
1617744302.4534779,52.75
1617744307.5883968,52.75
1617744312.7670434,52.75
1617744317.9288688,52.75
1617744322.993203,52.75
1617744327.9148057,52.75
1617744332.9062235,52.75
1617744337.9963698,52.75
1617744343.2066822,52.75
1617744348.4181652,52.75
1617744353.515446,52.75
1617744358.884221,52.75
1617744363.9662654,52.75
1617744369.2652106,52.75
1617744425.8740895,54.75
1617744431.0256982,55.50000000000001
1617744436.2326255,55.50000000000001
1617744441.3454437,55.50000000000001
1617744446.4830403,55.50000000000001
1617744451.6484191,55.50000000000001
1617744456.8505275,55.50000000000001
1617744461.982362,55.50000000000001
1617744467.2751236,55.50000000000001
1617744472.3077757,55.50000000000001
1617744477.2953668,55.50000000000001
1617744482.2875345,55.50000000000001
1617744487.3626933,55.50000000000001
1617744492.5003197,55.50000000000001
1617744497.6095233,55.50000000000001
1617744502.9747226,55.50000000000001
1617744508.196525,55.50000000000001
1617744513.336804,55.50000000000001
1617744518.5735264,55.50000000000001
1617744523.5194254,55.50000000000001
1617744528.432897,55.50000000000001
1617744533.4534595,55.50000000000001
1617744538.400113,55.50000000000001
1617744543.279369,55.50000000000001
1617744548.3871832,55.50000000000001
1617744604.563069,55.50000000000001
1617744609.5391436,55.50000000000001
1617744614.6117823,55.50000000000001
1617744619.4569247,55.50000000000001
1617744624.1326468,55.50000000000001
1617744629.1546311,55.50000000000001
1617744634.1489177,55.50000000000001
1617744639.0900028,55.50000000000001
1617744644.0484395,55.50000000000001
1617744649.1662955,55.50000000000001
1617744654.2155004,55.50000000000001
1617744659.306174,55.50000000000001
1617744664.3750446,55.50000000000001
1617744669.4309275,55.50000000000001
1617744674.5236468,55.50000000000001
1617744679.4272625,55.50000000000001
1617744684.4767802,55.50000000000001
1617744689.5321372,55.50000000000001
1617744694.6422548,55.50000000000001
1617744699.8049579,55.50000000000001
1617744704.8122263,55.50000000000001
1617744709.8725798,55.50000000000001
1617744715.1103756,55.50000000000001
1617744720.1890101,55.50000000000001
1617744725.364208,55.50000000000001
1617744782.5294366,55.75
1617744787.6564033,55.75
1617744792.7223618,55.75
1617744797.6563802,55.75
1617744802.6499224,55.75
1617744807.73102,55.75
1617744812.8256981,55.75
1617744817.7762072,55.75
1617744822.7348418,55.75
1617744827.7782364,55.75
1617744832.87627,55.75
1617744838.0025418,55.75
1617744843.1806004,55.75
1617744848.461073,55.75
1617744853.517088,55.75
1617744858.5185463,55.75
1617744863.7008095,55.75
1617744868.9463465,55.75
1617744873.8159764,55.75
1617744878.548557,55.75
1617744883.2683663,55.75
1617744888.0109963,55.75
1617744892.9590495,55.75
1617744898.0413055,55.75
1617744903.0558157,55.75
1617744958.4252803,56.25
1617744963.4985874,56.99999999999999
1617744968.5573337,56.99999999999999
1617744973.7360919,56.99999999999999
1617744978.894758,56.99999999999999
1617744984.031918,56.99999999999999
1617744989.3394134,56.99999999999999
1617744994.4789035,56.99999999999999
1617744999.7398806,56.99999999999999
1617745004.95922,56.99999999999999
1617745010.0371413,56.99999999999999
1617745015.1317654,56.99999999999999
1617745020.3058767,56.99999999999999
1617745025.3960705,56.99999999999999
1617745030.7362258,56.99999999999999
1617745035.9424505,56.99999999999999
1617745041.391098,56.99999999999999
1617745046.4736092,56.99999999999999
1617745051.4371555,56.99999999999999
1617745056.7352846,56.99999999999999
1617745061.9190633,56.99999999999999
1617745067.1582105,56.99999999999999
1617745072.3216357,56.99999999999999
1617745077.747969,56.99999999999999
1617745082.694202,56.99999999999999
