time,map_coverage
1617745650.4881392,4.75
1617745655.6176605,6.0
1617745660.7711542,7.75
1617745665.952517,8.0
1617745671.0845826,8.25
1617745676.274341,8.25
1617745681.459343,8.75
1617745686.637217,8.75
1617745691.7690668,8.75
1617745696.8842325,8.75
1617745701.9692338,9.25
1617745707.0920353,9.25
1617745712.1143565,9.25
1617745717.148825,9.25
1617745722.15735,9.25
1617745727.4625058,9.25
1617745732.748997,9.25
1617745738.0344715,9.25
1617745743.1895072,9.25
1617745748.5534482,9.25
1617745754.0126197,9.25
1617745759.3243213,9.25
1617745764.7346497,9.25
1617745770.0901818,9.75
1617745827.8118896,28.000000000000004
1617745832.885993,28.999999999999996
1617745838.1010602,28.999999999999996
1617745843.174812,28.999999999999996
1617745848.1614792,28.999999999999996
1617745853.349781,29.75
1617745858.505895,29.75
1617745863.5461142,29.75
1617745868.6712172,29.75
1617745873.8481753,29.75
1617745878.99866,29.75
1617745884.05463,29.75
1617745889.0906796,29.75
1617745894.0947762,29.75
1617745899.1225371,29.75
1617745904.1555727,29.75
1617745909.331438,29.75
1617745914.3741243,29.75
1617745919.5313075,29.75
1617745924.6075583,29.75
1617745929.5232937,29.75
1617745934.6107793,29.75
1617745939.6568723,29.75
1617745944.63769,29.75
1617745949.654545,29.75
1617746006.061635,32.75
1617746011.1762793,33.75
1617746016.134347,33.75
1617746021.1305826,33.75
1617746026.0448918,33.75
1617746030.9910614,33.75
1617746035.9908953,33.75
1617746041.0467596,33.75
1617746046.123209,33.75
1617746051.3676958,34.0
1617746056.5412278,34.0
1617746061.6357117,34.0
1617746066.6969938,34.0
1617746071.784661,34.0
1617746076.7640417,34.0
1617746081.7864923,34.0
1617746086.75248,34.0
1617746091.8782213,34.0
1617746096.986154,34.0
1617746101.980253,34.0
1617746107.161972,34.0
1617746112.5277686,34.0
1617746117.77785,34.0
1617746122.9874425,34.0
1617746128.2258382,34.0
1617746183.4370897,37.5
1617746188.6022406,38.25
1617746193.7251275,38.25
1617746198.6615849,38.5
1617746203.6178749,38.5
1617746208.6371489,38.5
1617746213.7594533,38.5
1617746218.8546243,38.5
1617746224.0754833,38.5
1617746229.4367316,38.5
1617746234.566871,38.5
1617746239.9705615,38.5
1617746245.2183793,38.5
1617746250.4565837,38.5
1617746255.684032,38.5
1617746260.9688332,38.5
1617746266.2859285,38.5
1617746271.4205832,38.5
1617746276.57211,38.5
1617746281.7457128,38.5
1617746286.9611168,38.5
1617746292.2494414,38.5
1617746297.3947802,38.5
1617746302.8044546,38.5
1617746308.1468744,38.5
1617746364.0649953,38.5
1617746369.179223,38.5
1617746374.283917,38.5
1617746379.3868651,38.5
1617746384.3955514,38.5
1617746389.5802782,38.5
1617746394.625701,38.5
1617746399.6704514,38.5
1617746404.7100623,38.5
1617746409.774816,38.5
1617746415.0938609,38.5
1617746420.3689137,38.5
1617746425.4757047,38.5
1617746431.14319,38.5
1617746436.4083393,38.5
1617746441.667954,38.5
1617746446.839966,38.5
1617746452.075325,38.5
1617746457.2420468,38.5
1617746462.5035052,38.5
1617746467.7174976,38.5
1617746473.015674,38.5
1617746478.485917,38.5
1617746483.8076916,38.5
1617746488.9861171,38.5
1617746546.3215573,41.25
1617746551.409721,42.5
1617746556.4676642,42.5
1617746561.5976503,42.5
1617746566.8421,42.5
1617746572.176711,42.5
1617746577.3049903,42.5
1617746582.6158671,42.5
1617746587.8148148,42.5
1617746592.957845,42.5
1617746597.8445585,42.5
1617746602.9022973,42.5
1617746608.0824895,42.5
1617746613.0488093,42.5
1617746618.2012136,42.5
1617746623.2238076,42.5
1617746628.4715664,42.5
1617746633.615532,42.5
1617746638.646577,42.5
1617746643.7321827,42.5
1617746648.8770418,42.5
1617746654.1719568,42.5
1617746659.4964144,42.5
1617746664.8646183,42.5
1617746670.1488283,42.5
1617746727.5930045,45.0
1617746732.7875614,46.0
1617746737.9245424,46.0
1617746742.9692895,46.0
1617746748.126315,46.0
1617746753.295288,46.0
1617746758.436036,46.0
1617746763.728126,46.0
1617746768.909127,46.0
1617746774.4077897,46.0
1617746779.6596456,46.0
1617746784.786344,46.0
1617746789.9231226,46.0
1617746795.0512774,46.0
1617746800.0297503,46.0
1617746805.0696967,46.0
1617746810.1496496,46.0
1617746815.3629663,46.0
1617746820.6000164,46.0
1617746825.757823,46.0
1617746830.9700315,46.0
1617746836.0929892,46.0
1617746841.2793732,46.0
1617746846.4538295,46.0
1617746851.3799083,46.0
1617746908.5352461,46.5
1617746913.4704819,48.0
1617746918.4884605,48.0
1617746923.4834993,48.0
1617746928.556361,48.0
1617746933.4378538,48.0
1617746938.5452518,48.0
1617746943.7111309,48.0
1617746948.8431408,48.0
1617746953.9201415,48.0
1617746959.1032884,48.0
1617746964.2624855,48.0
1617746969.3954039,48.0
1617746974.4489741,48.0
1617746979.5519376,48.0
1617746984.6415992,48.0
1617746989.8544369,48.0
1617746995.0404203,48.0
1617747000.2828891,48.0
1617747005.5763428,48.0
1617747010.8788288,48.0
1617747016.0698926,48.0
1617747021.2472522,48.0
1617747026.4491754,48.0
1617747031.613871,48.0
1617747088.0303955,48.25
1617747093.0663166,48.5
1617747098.2870731,48.5
1617747103.4166431,48.5
1617747108.4540977,48.5
1617747113.560381,48.5
1617747118.7962854,48.5
1617747124.0920472,48.5
1617747129.3660808,48.5
1617747134.644539,48.5
1617747139.8639476,48.5
1617747145.1508956,48.5
1617747150.5552764,48.5
1617747155.6361492,48.5
1617747160.9340413,48.5
1617747165.9281256,48.5
1617747170.7934477,48.5
1617747175.87311,48.5
1617747181.01495,48.5
1617747185.954093,48.5
1617747191.0766,48.5
1617747196.1721027,48.5
1617747201.764579,48.5
1617747207.222577,48.5
1617747212.786091,48.5
1617747269.7464051,49.75
1617747274.7977467,50.0
1617747279.973827,50.0
1617747285.1375518,50.0
1617747290.0388618,50.0
1617747294.9857345,50.24999999999999
1617747300.095556,50.24999999999999
1617747305.2803178,50.24999999999999
1617747310.5652926,50.24999999999999
1617747315.8671763,50.24999999999999
1617747321.2352703,50.24999999999999
1617747326.5242953,50.24999999999999
1617747331.8985424,50.24999999999999
1617747337.2919931,50.24999999999999
1617747342.5692236,50.24999999999999
1617747347.8658333,50.24999999999999
1617747353.1565995,50.24999999999999
1617747358.417379,50.24999999999999
1617747363.6964583,50.24999999999999
1617747369.0066705,50.24999999999999
1617747374.1668692,50.24999999999999
1617747379.396558,50.24999999999999
1617747384.7296867,50.24999999999999
1617747389.892601,50.24999999999999
1617747395.0059888,50.24999999999999
1617747453.558523,50.24999999999999
1617747458.319814,51.0
1617747463.1140501,51.0
1617747468.2032418,51.0
1617747473.4442847,51.0
1617747478.5213845,51.0
1617747483.7099676,51.0
1617747488.822483,51.0
1617747494.355912,51.0
1617747499.6877003,51.0
1617747504.780396,51.0
1617747510.0620627,51.0
1617747514.885082,51.0
1617747519.653506,51.0
1617747524.8296595,51.0
1617747530.438026,51.0
1617747535.9726236,51.0
1617747541.3046036,51.0
1617747546.5826018,51.0
1617747551.964639,51.0
1617747557.2312655,51.0
1617747562.4040353,51.0
1617747567.527918,51.0
1617747572.4772158,51.0
1617747577.430371,51.0
1617747633.852922,51.24999999999999
1617747638.781183,51.24999999999999
1617747643.743546,51.24999999999999
1617747648.6891332,51.24999999999999
1617747653.7540696,51.24999999999999
1617747658.6837466,51.24999999999999
1617747663.8648856,51.24999999999999
1617747669.0789173,51.24999999999999
1617747674.3369184,51.24999999999999
1617747679.3790033,51.24999999999999
1617747684.499823,51.24999999999999
1617747689.6574984,51.24999999999999
1617747694.712913,51.24999999999999
1617747699.922982,51.24999999999999
1617747705.0188391,51.24999999999999
1617747710.0735772,51.24999999999999
1617747715.1151912,51.24999999999999
1617747720.0395725,51.24999999999999
1617747725.1368155,51.24999999999999
1617747730.028719,51.24999999999999
1617747734.9485512,51.24999999999999
1617747740.149244,51.24999999999999
1617747745.1589363,51.24999999999999
1617747750.4027722,51.24999999999999
1617747755.6263456,51.24999999999999
1617747812.127283,51.24999999999999
1617747817.1168847,51.24999999999999
1617747822.2649453,51.24999999999999
1617747827.3088996,51.24999999999999
1617747832.497358,51.24999999999999
1617747837.6139562,51.24999999999999
1617747842.7230134,51.24999999999999
1617747848.007187,51.24999999999999
1617747853.2846465,51.24999999999999
1617747858.4883363,51.24999999999999
1617747863.779062,51.24999999999999
1617747868.9796646,51.24999999999999
1617747874.1477852,51.24999999999999
1617747879.4823616,51.24999999999999
1617747884.7171597,51.24999999999999
1617747889.9393766,51.24999999999999
1617747895.005193,51.24999999999999
1617747900.1335683,51.24999999999999
1617747905.3353293,51.24999999999999
1617747910.5743206,51.24999999999999
1617747915.6905124,51.24999999999999
1617747920.8736167,51.24999999999999
1617747926.0953107,51.24999999999999
1617747931.3594375,51.24999999999999
1617747936.637767,51.24999999999999
1617747992.6020164,51.24999999999999
1617747997.5070417,51.5
1617748002.3195481,51.5
1617748007.4336066,51.5
1617748012.6461158,51.5
1617748017.85998,51.5
1617748023.000188,51.5
1617748028.1093194,51.5
1617748033.1983795,51.5
1617748038.3346176,51.5
1617748043.5448356,51.5
1617748048.7227147,51.5
1617748053.9496615,51.5
1617748059.0681567,51.5
1617748064.2796104,51.5
1617748069.3815494,51.5
1617748074.572741,51.5
1617748079.8226554,51.5
1617748085.1255717,51.5
1617748090.3796728,51.5
1617748095.5537565,51.5
1617748100.6776183,51.5
1617748106.0654545,51.5
1617748111.5515873,51.5
1617748116.6223238,51.5
1617748174.495431,51.5
1617748179.531609,52.5
1617748184.3815165,52.5
1617748189.057884,52.5
1617748193.7778206,52.5
1617748199.108789,52.5
1617748204.2268257,52.5
1617748209.4566379,52.5
1617748214.4320228,52.5
1617748219.7502325,52.5
1617748224.7494981,52.5
1617748229.572094,52.5
1617748234.6028028,52.5
1617748239.8124754,52.5
1617748244.915963,52.5
1617748249.9731948,52.5
1617748254.8923872,52.5
1617748259.9118638,52.5
1617748264.9255757,52.5
1617748270.0418942,52.5
1617748275.1711378,52.5
1617748280.552299,52.5
1617748285.735033,52.5
1617748290.8714392,52.5
1617748296.1042492,52.5
1617748352.8037822,53.0
1617748357.870437,53.0
1617748363.0381591,53.0
1617748368.3082929,53.0
1617748373.6925166,53.0
1617748378.9245527,53.0
1617748384.1663997,53.0
1617748389.283267,53.0
1617748394.5654402,53.0
1617748399.7605867,53.0
1617748404.8355625,53.0
1617748410.107344,53.0
1617748415.3439848,53.0
1617748420.5242302,53.0
1617748425.703777,53.0
1617748430.8787284,53.0
1617748436.0455647,53.0
1617748441.154857,53.0
1617748446.1330206,53.0
1617748451.2694333,53.0
1617748456.3260026,53.0
1617748461.4947715,53.0
1617748466.6383977,53.0
1617748471.7991707,53.0
1617748476.8380988,53.0
1617748534.4178476,54.50000000000001
1617748539.5314736,55.75
1617748544.6956592,55.75
