time,map_coverage
1617752406.054067,4.5
1617752411.0495763,6.25
1617752416.0780861,6.75
1617752421.0600712,7.5
1617752426.0237665,7.75
1617752430.9520688,8.75
1617752435.767057,8.75
1617752440.4835343,8.75
1617752445.3544154,8.75
1617752450.2148516,8.75
1617752455.0792506,8.75
1617752460.027124,9.5
1617752465.1588953,10.0
1617752470.2234728,10.0
1617752475.2760508,10.0
1617752480.373676,10.75
1617752485.4513597,11.25
1617752490.7244725,11.25
1617752495.6430976,11.25
1617752500.2698445,11.25
1617752505.2254088,11.25
1617752510.1863005,11.25
1617752515.1572182,11.25
1617752520.3107533,11.25
1617752576.7508724,17.75
1617752581.7809355,21.0
1617752586.6865408,21.5
1617752591.4902334,21.5
1617752596.7319639,21.5
1617752601.969797,21.5
1617752607.3065827,21.5
1617752612.367927,21.5
1617752617.0390875,21.5
1617752621.7646024,21.5
1617752626.44861,21.5
1617752631.099243,21.5
1617752636.1526344,21.5
1617752641.088186,21.5
1617752646.080739,21.5
1617752651.1534154,21.5
1617752656.3202777,21.5
1617752661.483644,21.5
1617752666.6115587,21.5
1617752671.746949,22.0
1617752677.0328176,22.0
1617752681.9251008,22.0
1617752686.7081983,22.0
1617752691.7258735,22.0
1617752696.671652,22.0
1617752752.786511,24.25
1617752757.573441,25.5
1617752762.7692614,25.5
1617752767.71909,25.5
1617752772.9746702,25.5
1617752778.1343298,26.5
1617752782.8914683,26.75
1617752787.6504521,26.75
1617752792.7303195,26.75
1617752797.8888662,26.75
1617752803.032508,26.75
1617752807.9218166,27.0
1617752812.8050718,27.0
1617752817.7205687,27.0
1617752823.0019596,27.0
1617752828.237178,27.0
1617752833.26996,27.0
1617752838.2228475,27.0
1617752842.9996195,27.0
1617752848.1552944,27.0
1617752853.514916,27.0
1617752858.8141704,27.0
1617752863.6417985,27.0
1617752868.6165352,27.0
1617752873.3639774,27.0
1617752929.1101227,31.0
1617752934.1751711,31.5
1617752939.2494164,31.5
1617752944.274842,31.5
1617752949.3597002,31.5
1617752954.4249291,31.5
1617752959.463398,31.5
1617752964.4058917,31.5
1617752969.503818,31.5
1617752974.4699106,31.5
1617752979.5915077,31.5
1617752984.6537693,31.5
1617752989.6577728,31.5
1617752994.8141613,31.5
1617752999.8799384,31.5
1617753004.7525027,31.5
1617753009.5039537,31.5
1617753014.6898556,31.5
1617753019.7586322,31.5
1617753024.8910372,31.5
1617753030.117725,31.5
1617753035.4158084,31.5
1617753040.7106605,31.5
1617753046.0371296,31.5
1617753051.047926,31.5
1617753108.2043223,33.75
1617753113.2221503,33.75
1617753118.337739,33.75
1617753123.3078125,33.75
1617753128.3773332,33.75
1617753133.7721074,33.75
1617753138.833847,33.75
1617753144.2529454,33.75
1617753149.3683097,33.75
1617753154.4040792,33.75
1617753159.7224936,33.75
1617753164.8698437,33.75
1617753169.8591628,33.75
1617753174.944333,33.75
1617753180.062286,33.75
1617753185.1825564,33.75
1617753190.324607,33.75
1617753195.485167,33.75
1617753200.7114277,33.75
1617753205.8286443,33.75
1617753210.8843129,33.75
1617753215.9782484,33.75
1617753221.059336,33.75
1617753226.1301503,33.75
1617753231.0687594,33.75
1617753286.2919743,36.5
1617753291.2158296,38.5
1617753296.268112,38.5
1617753301.1405296,38.5
1617753306.063313,38.5
1617753311.1595433,38.5
1617753316.219123,38.5
1617753321.4686885,38.5
1617753326.565741,38.5
1617753331.7054574,38.5
1617753336.7755492,38.5
1617753341.8478475,38.5
1617753346.9657445,38.5
1617753352.1035926,38.5
1617753357.2307708,38.5
