time,map_coverage
1617737956.6705546,6.75
1617737961.4775329,8.5
1617737966.3333578,9.25
1617737971.1738296,9.25
1617737975.8333423,10.25
1617737981.0252593,10.5
1617737986.0624058,11.75
1617737991.007846,13.750000000000002
1617737996.1927896,15.75
1617738001.1532621,15.75
1617738006.08673,16.0
1617738011.141154,16.0
1617738016.2694063,16.0
1617738021.2953556,16.0
1617738026.2946296,16.0
1617738031.1308236,16.0
1617738036.1962998,16.5
1617738041.184567,18.0
1617738046.1377978,18.0
1617738051.1878877,18.0
1617738056.328272,18.0
1617738061.3218827,18.0
1617738066.529132,18.0
1617738071.6239777,18.25
1617738128.503973,21.25
1617738133.5539472,23.25
1617738138.6775393,23.25
1617738143.6409466,23.25
1617738148.7437184,24.0
1617738153.8273973,24.0
1617738158.7369692,24.0
1617738163.90456,24.0
1617738169.1099882,24.0
1617738174.0835621,24.0
1617738179.1054535,24.0
1617738184.2207704,24.0
1617738189.0230515,24.0
1617738194.1632516,24.0
1617738199.3377738,24.0
1617738204.2101936,24.0
1617738209.437239,24.0
1617738214.6480768,24.0
1617738219.8169794,24.0
1617738224.7445934,24.0
1617738229.98343,24.0
1617738235.0207093,24.0
1617738240.1213057,24.0
1617738245.2125928,24.0
1617738250.3454256,24.0
1617738306.5099118,26.75
1617738311.5743167,28.999999999999996
1617738316.4205182,28.999999999999996
1617738321.3355265,28.999999999999996
1617738326.6618514,28.999999999999996
1617738331.6769855,28.999999999999996
1617738336.839197,28.999999999999996
1617738341.602421,28.999999999999996
1617738346.3828456,28.999999999999996
1617738351.4918206,28.999999999999996
1617738356.6122768,28.999999999999996
1617738361.291765,28.999999999999996
1617738366.4461365,28.999999999999996
1617738371.5286574,28.999999999999996
1617738376.4967992,28.999999999999996
1617738381.7735155,28.999999999999996
1617738386.8448923,28.999999999999996
1617738391.7937715,28.999999999999996
1617738396.658846,28.999999999999996
1617738401.998369,28.999999999999996
1617738407.0428536,28.999999999999996
1617738411.716949,28.999999999999996
1617738416.6081488,28.999999999999996
1617738421.2373662,28.999999999999996
1617738426.5665975,28.999999999999996
1617738483.0308638,33.75
1617738488.0405161,35.0
1617738492.873666,35.0
1617738497.982812,35.0
1617738503.057242,35.0
1617738507.717042,35.0
1617738512.5298421,35.0
1617738517.3169842,35.0
1617738522.287046,35.0
1617738527.37888,35.0
1617738532.3563359,35.0
1617738537.3812966,35.0
1617738542.1427383,35.0
1617738546.808181,35.0
1617738551.941473,35.0
1617738556.9576404,35.0
1617738562.0492666,35.0
1617738567.0125115,35.0
1617738572.0987475,35.0
1617738577.085616,35.0
1617738582.125042,35.0
1617738587.1552637,35.0
1617738592.1732154,35.0
1617738597.172775,35.0
1617738601.8876646,35.0
1617738657.1235158,38.0
1617738662.0392518,38.25
1617738666.9142954,38.25
1617738671.7448292,38.25
1617738676.7670636,38.25
1617738681.8424973,38.25
1617738686.9156978,38.25
1617738692.0448656,38.25
1617738697.1755106,38.25
1617738702.3572452,38.25
1617738707.5303023,38.25
1617738712.6721618,38.25
1617738717.8447459,38.25
1617738722.9080715,38.25
1617738727.9083307,38.25
1617738732.8101096,38.25
1617738737.8190799,38.25
1617738742.8000646,38.25
1617738747.8766925,38.25
1617738752.9378893,38.25
1617738758.1231525,38.25
1617738763.2487795,38.25
1617738768.3903816,38.25
1617738773.5112104,38.25
1617738778.6363254,38.25
