time,map_coverage
1617763566.2796164,4.0
1617763571.2544684,5.75
1617763576.4395592,7.000000000000001
1617763581.4947367,7.000000000000001
1617763586.5339868,7.249999999999999
1617763591.6802588,7.249999999999999
1617763596.7521353,7.249999999999999
1617763601.8104658,8.5
1617763606.8788462,8.75
1617763611.9978726,8.75
1617763617.1099114,9.5
1617763622.237876,9.5
1617763627.2106788,9.5
1617763632.2831771,9.5
1617763637.302815,9.5
1617763642.3206253,9.5
1617763647.4777286,9.5
1617763652.4557648,9.5
1617763657.3059335,9.5
1617763662.2547784,9.5
1617763667.3481045,9.5
1617763672.3617854,9.5
1617763677.4780154,10.0
1617763682.5235622,10.0
1617763737.4574988,23.25
1617763742.4601114,25.25
1617763747.504024,25.25
1617763753.2094345,25.25
1617763758.2716463,25.25
1617763763.251863,25.5
1617763768.3792858,25.5
1617763773.509238,25.5
1617763778.5073888,25.5
1617763783.7207165,25.5
1617763788.7535474,25.5
1617763793.7500236,25.5
1617763798.9633133,25.5
1617763803.9900544,25.5
1617763808.9941134,25.5
1617763814.1075177,25.5
1617763818.944523,28.749999999999996
1617763824.0182104,28.749999999999996
1617763829.165491,28.749999999999996
1617763834.396486,28.749999999999996
1617763839.5586154,28.749999999999996
1617763844.5600562,28.749999999999996
1617763849.6480951,28.749999999999996
1617763854.5804946,28.749999999999996
1617763859.544964,28.749999999999996
1617763915.8985884,32.25
1617763920.925778,32.25
1617763925.9120262,32.25
1617763931.3112695,32.25
1617763936.1187363,32.25
1617763941.1371384,32.25
1617763946.1568217,32.25
1617763951.0587418,32.25
1617763956.3026783,32.25
1617763961.4941425,32.25
1617763966.5035582,32.25
1617763971.7341712,32.25
1617763976.9093862,32.25
1617763982.198606,32.25
1617763987.2345836,32.25
1617763992.4752326,32.25
1617763997.6689904,32.25
1617764002.804017,32.25
1617764007.8864925,32.25
1617764012.9982328,32.25
1617764018.138097,32.25
1617764023.1519933,32.25
1617764028.1968524,32.25
1617764033.2201102,32.25
1617764038.2238655,32.25
1617764095.3100626,34.0
1617764100.3997042,35.0
1617764105.3846254,35.0
1617764110.4705846,35.0
1617764115.5144835,35.0
1617764120.6123455,35.0
1617764125.7554572,35.0
1617764130.828408,35.0
1617764135.964732,35.0
1617764141.0927927,35.0
1617764146.1950912,35.0
1617764151.159706,35.0
1617764156.3117101,35.0
1617764161.5080152,35.0
1617764166.6197748,35.5
1617764171.762034,35.5
1617764176.3858778,35.5
1617764181.1356447,35.5
1617764185.8447537,35.5
1617764190.5485678,35.5
1617764195.6968806,35.5
1617764200.7912166,35.5
1617764205.763252,35.5
1617764210.7637503,35.5
1617764215.7785885,35.5
1617764271.9790778,36.75
1617764277.113968,37.25
1617764282.4331064,37.25
1617764287.5777657,37.25
1617764292.5215492,37.25
1617764297.481524,37.5
1617764302.6172245,37.5
1617764307.7523706,37.5
1617764312.8885703,37.5
